month,borough,day_type,trip_type,route_id,period,total_mileage,total_operating_time,average_speed
2022-11-01,Bronx,1,LCL/LTD,BX19,Off-Peak,23598.283,4023,5.86542
2022-11-01,Bronx,1,LCL/LTD,BX19,Peak,9378.778,1780,5.2678623
2022-11-01,Bronx,2,LCL/LTD,BX19,Off-Peak,9985.697,1564,6.3816385
2022-11-01,Bronx,2,LCL/LTD,BX19,Peak,3850.232,636,6.052074
2022-12-01,Bronx,1,LCL/LTD,BX19,Off-Peak,22894.38,3901,5.868585
2022-12-01,Bronx,1,LCL/LTD,BX19,Peak,9143.693,1726,5.2953596
2022-12-01,Bronx,2,LCL/LTD,BX19,Off-Peak,9851.282,1529,6.4400525
2022-12-01,Bronx,2,LCL/LTD,BX19,Peak,3647.154,588,6.1991987
2023-01-01,Bronx,1,LCL/LTD,BX19,Off-Peak,24039.064,4027,5.96848
2023-01-01,Bronx,1,LCL/LTD,BX19,Peak,9538.784,1784,5.345828
2023-01-01,Bronx,2,LCL/LTD,BX19,Off-Peak,11189.372,1730,6.465617
2023-01-01,Bronx,2,LCL/LTD,BX19,Peak,4312.363,697,6.18631
2023-02-01,Bronx,1,LCL/LTD,BX19,Off-Peak,22234.324,3745,5.9359536
2023-02-01,Bronx,1,LCL/LTD,BX19,Peak,8994.603,1672,5.376898
2023-02-01,Bronx,2,LCL/LTD,BX19,Off-Peak,9176.598,1427,6.4290543
2023-02-01,Bronx,2,LCL/LTD,BX19,Peak,3599.959,587,6.1323886
2023-03-01,Bronx,1,LCL/LTD,BX19,Off-Peak,27415.791,4668,5.872792
2023-03-01,Bronx,1,LCL/LTD,BX19,Peak,10848.111,2053,5.283454
2023-03-01,Bronx,2,LCL/LTD,BX19,Off-Peak,8240.671,1307,6.304134
2023-03-01,Bronx,2,LCL/LTD,BX19,Peak,3144.799,519,6.053673
2023-04-01,Bronx,1,LCL/LTD,BX19,Off-Peak,24478.303,4219,5.8006053
2023-04-01,Bronx,1,LCL/LTD,BX19,Peak,9962.649,1876,5.3103075
2023-04-01,Bronx,2,LCL/LTD,BX19,Off-Peak,10483.6,1651,6.3495293
2023-04-01,Bronx,2,LCL/LTD,BX19,Peak,4030.261,655,6.1474366
2023-05-01,Bronx,1,LCL/LTD,BX19,Off-Peak,25609.254,4513,5.673582
2023-05-01,Bronx,1,LCL/LTD,BX19,Peak,10195.42,1958,5.204646
2023-05-01,Bronx,2,LCL/LTD,BX19,Off-Peak,8621.003,1391,6.193871
2023-05-01,Bronx,2,LCL/LTD,BX19,Peak,3305.517,548,6.0271964
2023-06-01,Bronx,1,LCL/LTD,BX19,Off-Peak,25492.549,4431,5.7528496
2023-06-01,Bronx,1,LCL/LTD,BX19,Peak,10405.113,1957,5.314686
2023-06-01,Bronx,2,LCL/LTD,BX19,Off-Peak,8207.701,1316,6.2361875
2023-06-01,Bronx,2,LCL/LTD,BX19,Peak,3084.196,507,6.074002
2023-07-01,Bronx,1,LCL/LTD,BX19,Off-Peak,23807.428,4111,5.790347
2023-07-01,Bronx,1,LCL/LTD,BX19,Peak,9425.083,1773,5.3141065
2023-07-01,Bronx,2,LCL/LTD,BX19,Off-Peak,11052.549,1771,6.2384305
2023-07-01,Bronx,2,LCL/LTD,BX19,Peak,4385.484,722,6.067875
2023-08-01,Bronx,1,LCL/LTD,BX19,Off-Peak,27947.365,4797,5.825318
2023-08-01,Bronx,1,LCL/LTD,BX19,Peak,11044.752,2060,5.360212
2023-08-01,Bronx,2,LCL/LTD,BX19,Off-Peak,8045.575,1306,6.15593
2023-08-01,Bronx,2,LCL/LTD,BX19,Peak,3159.631,531,5.943395
2023-09-01,Bronx,1,LCL/LTD,BX19,Off-Peak,22282.15,3892,5.7249675
2023-09-01,Bronx,1,LCL/LTD,BX19,Peak,8624.519,1674,5.149321
2023-09-01,Bronx,2,LCL/LTD,BX19,Off-Peak,10017.118,1584,6.320849
2023-09-01,Bronx,2,LCL/LTD,BX19,Peak,3774.7969,618,6.104527
2023-10-01,Bronx,1,LCL/LTD,BX19,Off-Peak,25405.365,4406,5.765265
2023-10-01,Bronx,1,LCL/LTD,BX19,Peak,10073.473,1932,5.2121253
2023-10-01,Bronx,2,LCL/LTD,BX19,Off-Peak,8605.59,1359,6.331794
